id;name;valid_from;valid_to
1;Legacy generate;2020-08-01T23:21:09;2020-08-02T07:05:35
2;navigate Refined Granite Keyboard;2020-08-02T12:19:38;2020-08-02T15:59:17
3;Consultant Books;2020-08-02T04:02:59;2020-08-02T14:55:30
4;eco-centric support service-desk;2020-08-02T09:45:16;2020-08-01T20:34:16
5;fuchsia Configuration;2020-08-02T10:52:44;2020-08-02T14:48:41
6;deposit Innovative ROI;2020-08-02T09:04:24;2020-08-01T23:55:11
7;hacking Web directional;2020-08-02T16:56:44;2020-08-02T09:43:29
8;Nebraska Principal;2020-08-01T20:24:15;2020-08-02T02:38:23
9;e-tailers Colorado;2020-08-02T16:25:55;2020-08-02T07:19:03
10;compelling Cambridgeshire Strategist;2020-08-02T10:41:16;2020-08-01T20:03:39
