id;name;short_label;sort_order;icon_font;icon_photo
1;Maine;Plastic payment next-generation;79595;optical;Tenge encoding New York
2;Intelligent Iowa hacking;Key teal;980;collaborative;Books
3;Buckinghamshire;syndicate Personal Loan Account online;65469;Licensed Metal Pants;Rufiyaa
4;Operations SQL out-of-the-box;override Books Chief;14981;Sports Soap Avon;Pass Small
5;wireless Berkshire THX;next generation;74412;payment;Garden Mexico Health
6;1080p deliverables;quantify static Cambridgeshire;54680;sensor;Savings Account Frozen benchmark
7;Checking Account Tasty Frozen Ball;Incredible Sports;81481;Buckinghamshire Personal Loan Account;Sleek
8;generating Arizona;systems metrics;50857;5th generation;calculating Assistant
9;multi-state;Coordinator Optimization overriding;53854;Forward Steel;District
10;firewall Tasty Frozen Shirt;recontextualize;201;Shirt programming Tools;foreground foreground
