id;name;location;latest_recorded_population;localization;valid_from;valid_to
1;architectures killer;Toys;3433;../fake-data/blob/hipster.txt;2020-08-02T08:27:09;2020-08-01T19:57:50
2;Unbranded;1080p RAM;61181;../fake-data/blob/hipster.txt;2020-08-02T06:13:05;2020-08-02T17:10:05
3;Lead;Singapore Dollar;5123;../fake-data/blob/hipster.txt;2020-08-02T16:20:33;2020-08-02T13:01:21
4;Health Generic Stream;national Ball;41603;../fake-data/blob/hipster.txt;2020-08-02T10:08:06;2020-08-01T22:49:37
5;Down-sized Flat Shirt;model indexing forecast;2745;../fake-data/blob/hipster.txt;2020-08-02T15:53:54;2020-08-01T18:52:16
6;best-of-breed Mexican Peso Mexican Unidad de Inversion (UDI);Berkshire;95442;../fake-data/blob/hipster.txt;2020-08-02T11:35:40;2020-08-02T04:33:30
7;California tan;Tuna Licensed Plastic Table THX;5065;../fake-data/blob/hipster.txt;2020-08-02T02:44:51;2020-08-01T17:31:32
8;Sausages;Agent Assistant;90449;../fake-data/blob/hipster.txt;2020-08-02T03:27:24;2020-08-02T12:49:06
9;driver Awesome mint green;core infomediaries;28189;../fake-data/blob/hipster.txt;2020-08-02T05:46:53;2020-08-02T10:17:50
10;microchip;Platinum Interactions;15874;../fake-data/blob/hipster.txt;2020-08-01T22:47:31;2020-08-02T10:44:35
