id;cold_room_sensor_number;recorded_when;temperature;valid_from;valid_to
1;27697;2020-08-02T15:22:09;21212;2020-08-02T02:47:24;2020-08-02T12:45:21
2;55229;2020-08-02T15:55:48;7856;2020-08-02T02:16:22;2020-08-01T20:49:59
3;96523;2020-08-01T19:15:39;64029;2020-08-02T11:26:00;2020-08-02T01:03:56
4;15440;2020-08-02T02:05:46;98758;2020-08-01T20:13:04;2020-08-02T06:25:00
5;42826;2020-08-02T15:46:39;10691;2020-08-02T01:14:28;2020-08-02T10:07:19
6;66382;2020-08-02T11:19:51;73636;2020-08-02T10:41:47;2020-08-02T11:48:31
7;39161;2020-08-01T18:20:06;77705;2020-08-02T06:40:05;2020-08-02T16:39:22
8;78035;2020-08-01T21:16:22;70626;2020-08-02T05:30:31;2020-08-02T03:52:14
9;44078;2020-08-02T04:09:28;7350;2020-08-01T18:04:49;2020-08-02T05:47:13
10;62352;2020-08-02T11:30:04;26333;2020-08-01T21:53:53;2020-08-02T04:37:14
