id;currency_rate_date;fromcode;tocode;average_rate;end_of_day_rate;last_edited_by;last_edited_when
1;2020-06-16T16:07:29;bluetooth Frozen granular;Investment Account;42410;57558;integrated infrastructure;2020-06-16T23:47:38
2;2020-06-17T07:40:47;Agent;Home Loan Account open-source;25740;84029;benchmark Architect;2020-06-17T14:04:41
3;2020-06-16T17:09:41;Practical Cotton Bacon Flat;Networked synthesize;93103;52564;Harbors;2020-06-17T05:06:15
4;2020-06-17T06:24:51;connecting;Club;18000;31140;plug-and-play View;2020-06-17T12:47:57
5;2020-06-16T23:06:04;Rial Omani Corporate;Technician;5452;5153;Tasty redefine;2020-06-17T10:16:45
6;2020-06-16T20:39:08;Tuna Russian Ruble;navigate Run Berkshire;10338;8391;Bouvet Island (Bouvetoya) Pre-emptive;2020-06-17T08:46:05
7;2020-06-17T14:02:20;e-markets;application compressing portals;4483;26479;payment Virtual;2020-06-17T11:54:49
8;2020-06-17T13:26:38;Senior;task-force;98884;65605;Beauty;2020-06-16T22:15:13
9;2020-06-17T15:05:34;schemas Shoes haptic;International Integration;88155;95335;Pitcairn Islands Games ADP;2020-06-17T03:05:24
10;2020-06-17T04:00:52;bluetooth Producer Mali;Rustic Metal Tuna;27498;33609;United States Minor Outlying Islands Awesome;2020-06-17T02:15:21
