id;name;valid_from;valid_to
1;real-time Cambridgeshire;2020-06-09T21:56:38;2020-06-10T02:48:51
2;Personal Loan Account;2020-06-10T08:59:44;2020-06-10T05:38:45
3;compress;2020-06-10T04:02:47;2020-06-10T10:40:19
4;Ameliorated;2020-06-10T14:05:58;2020-06-09T23:58:55
5;transmit full-range object-oriented;2020-06-10T02:14:10;2020-06-09T15:25:33
6;overriding turquoise;2020-06-10T02:40:30;2020-06-10T11:47:08
7;Sports;2020-06-10T06:33:22;2020-06-09T21:38:54
8;architect Frozen;2020-06-09T21:08:08;2020-06-10T01:25:05
9;Rubber Producer;2020-06-10T08:58:00;2020-06-10T09:04:32
10;Handcrafted Metal Sausages Tuvalu Kina;2020-06-10T03:48:26;2020-06-10T12:59:45
