id;amount_excluding_tax;tax_amount;transaction_amount;outstanding_amount;last_edited_by;last_edited_when
1;83235;46607;77547;46256;models Electronics;2020-08-02T09:33:23
2;20242;43289;60070;96461;compressing;2020-08-02T09:51:09
3;11158;76486;76891;5308;maximized;2020-08-02T03:37:46
4;5779;43901;77447;41394;efficient De-engineered;2020-08-02T06:15:42
5;42824;22725;16557;97961;Fantastic;2020-08-01T17:56:49
6;41654;24166;76522;85221;Lodge Group Handmade;2020-08-02T09:04:00
7;49136;99769;84195;98798;B2C calculating;2020-08-01T22:46:52
8;92967;44398;84840;34682;infrastructure indexing;2020-08-02T15:17:59
9;91310;89972;94768;17681;Ergonomic Metal Bacon Checking Account;2020-08-01T20:01:26
10;18250;92252;56284;32297;Mauritania Montenegro;2020-08-02T03:50:09
