id;serial_no;amount;last_edity_by;last_edited_when
1;New Hampshire;58156;Dynamic Salad;2020-07-18T07:09:50
2;Delaware Hat frame;36836;zero tolerance;2020-07-17T18:34:03
3;Puerto Rico Lithuania;79182;aggregate;2020-07-18T07:38:28
4;vertical;28216;Small Rustic;2020-07-17T09:45:29
5;Estonia Home Loan Account Malta;11977;Soap;2020-07-18T01:07:27
6;PNG;63553;Gorgeous Steel Computer Chicken;2020-07-17T14:06:05
7;portals Granite;19387;Shoes partnerships;2020-07-17T14:54:08
8;Forward;63921;Chief Philippine Peso;2020-07-17T22:07:38
9;reinvent;84355;Chief leading-edge;2020-07-17T18:49:31
10;Tanzanian Shilling application communities;29139;interfaces Home;2020-07-18T03:29:29
