id;transaction_date;amount_excluding_tax;tax_amount;transaction_amount;outstanding_balance;finalization_date;is_finalized;last_edited_by;last_edited_when
1;2020-06-10T08:29:21;49387;99321;2525;34577;2020-06-10T12:53:43;false;AGP Devolved Business-focused;2020-06-09T16:03:07
2;2020-06-10T10:59:12;8438;92829;85564;64008;2020-06-10T05:48:48;true;Sleek pixel;2020-06-10T06:46:38
3;2020-06-10T05:24:19;57385;91702;14307;84993;2020-06-09T16:45:25;false;partnerships;2020-06-10T04:57:51
4;2020-06-09T22:54:33;53252;77733;61540;41485;2020-06-09T15:27:41;true;quantify violet copying;2020-06-10T12:42:29
5;2020-06-09T14:56:40;27223;85651;20667;30590;2020-06-10T10:17:34;true;hard drive;2020-06-10T09:41:50
6;2020-06-09T23:50:08;27730;63617;96265;53441;2020-06-10T12:16:52;true;input Practical Frozen Salad;2020-06-10T14:39:17
7;2020-06-09T21:46:02;91409;20973;6788;2226;2020-06-09T16:23:55;true;West Virginia Algerian Dinar;2020-06-10T10:19:30
8;2020-06-10T02:54:13;81326;28663;22115;62152;2020-06-10T04:02:18;true;Burundi Franc ivory;2020-06-09T20:33:57
9;2020-06-09T17:29:59;98386;98953;16664;77177;2020-06-10T11:22:14;false;Metal customer loyalty;2020-06-09T20:46:04
10;2020-06-10T02:27:37;70401;76182;70161;48876;2020-06-09T16:01:08;false;capacity Sleek Fresh Gloves;2020-06-10T08:47:44
