id;name;third_party_name;expected_min_arrival_days;expected_max_arrival_days;default_ind;delivery_note;valid_from;valid_to
1;Tactics secondary payment;Adaptive;68195;46066;false;Security firewall;2020-07-17T19:15:01;2020-07-17T13:19:23
2;calculate Gold;mobile maximize online;12859;34528;true;synthesize national;2020-07-17T08:14:50;2020-07-18T06:52:36
3;Buckinghamshire;auxiliary hardware;2091;85498;false;Seamless;2020-07-17T18:35:39;2020-07-18T06:13:24
4;e-tailers;Bedfordshire Western Sahara bypass;47916;14113;false;Bedfordshire revolutionary Solutions;2020-07-17T09:06:30;2020-07-17T11:41:27
5;Generic Programmable PNG;generate Small Granite Shirt;16300;55131;false;neural;2020-07-17T19:38:48;2020-07-18T05:48:48
6;Strategist out-of-the-box primary;Technician Hawaii Plaza;5025;94551;true;Arizona Manager;2020-07-17T13:00:11;2020-07-17T19:46:55
7;functionalities azure extend;Cheese GB;18444;51194;true;Nuevo Sol;2020-07-17T20:33:54;2020-07-17T11:21:39
8;content SMS Utah;port Paradigm;17336;28795;false;Practical Steel Sausages synthesizing;2020-07-17T16:56:23;2020-07-17T17:52:12
9;redundant navigating silver;payment Wisconsin Fully-configurable;57750;14680;false;generating Lead Associate;2020-07-18T04:34:08;2020-07-17T10:34:15
10;innovate archive Comoros;Cambridgeshire International;41708;63910;false;dot-com virtual Identity;2020-07-18T06:25:39;2020-07-17T14:50:19
