id;name;description;valid_from;valid_to
1;Wooden Plastic index;Berkshire;2020-06-17T08:22:30;2020-06-17T14:16:24
2;Chicken neural;reintermediate Practical Steel Computer;2020-06-17T10:12:32;2020-06-17T06:02:52
3;parsing;Incredible data-warehouse Home Loan Account;2020-06-17T09:54:39;2020-06-17T13:38:59
4;haptic index;Zimbabwe Dollar;2020-06-17T07:21:16;2020-06-16T18:32:32
5;Handcrafted Granite Shirt;azure synthesize;2020-06-17T15:58:10;2020-06-17T08:05:12
6;bypass optical;index Soft Representative;2020-06-17T00:32:19;2020-06-17T05:48:32
7;Rustic mobile;orchestration Ergonomic Concrete Keyboard;2020-06-16T19:05:33;2020-06-17T06:28:53
8;Tasty Fresh Fish Buckinghamshire;initiatives;2020-06-17T11:54:02;2020-06-17T05:53:35
9;Savings Account Metal Liaison;Granite purple Borders;2020-06-17T01:52:25;2020-06-17T08:42:37
10;compress Toys users;reinvent Ergonomic Cotton Fish;2020-06-16T19:15:34;2020-06-17T10:18:01
