id;code;name;culture_details;valid_from;valid_to
1;Kina Cove model;Practical maroon B2B;../fake-data/blob/hipster.txt;2020-07-15T14:22:20;2020-07-15T19:53:56
2;invoice Extension Rhode Island;Expressway Cambridgeshire infrastructures;../fake-data/blob/hipster.txt;2020-07-16T02:03:57;2020-07-16T03:13:47
3;Solutions vortals District;maximized Intranet;../fake-data/blob/hipster.txt;2020-07-15T09:34:19;2020-07-16T05:06:19
4;Liaison Swiss Franc;Metrics;../fake-data/blob/hipster.txt;2020-07-15T07:26:43;2020-07-16T00:31:55
5;calculating Rapids;Yemen;../fake-data/blob/hipster.txt;2020-07-16T06:53:00;2020-07-15T21:33:40
6;generate;fuchsia;../fake-data/blob/hipster.txt;2020-07-15T15:32:38;2020-07-15T10:11:46
7;Buckinghamshire;Liberia Books seamless;../fake-data/blob/hipster.txt;2020-07-16T05:03:25;2020-07-15T15:40:18
8;e-markets Corporate virtual;Coordinator;../fake-data/blob/hipster.txt;2020-07-15T15:02:07;2020-07-16T04:45:57
9;Algerian Dinar synthesize;generate ADP Producer;../fake-data/blob/hipster.txt;2020-07-16T05:46:18;2020-07-15T20:55:07
10;Handcrafted Investment Account THX;cross-platform IB;../fake-data/blob/hipster.txt;2020-07-15T12:08:44;2020-07-16T04:16:30
