id;description;quantity;unit_price;tax_rate;tax_amount;line_profit;extended_price;last_edited_by;last_edited_when
1;conglomeration Manager;69421;65850;52630;44793;51299;15449;Accounts Danish Krone Generic Cotton Computer;2020-08-02T11:31:59
2;Ridges;98667;50153;5099;97650;41226;70528;bricks-and-clicks compress;2020-08-02T09:57:24
3;target knowledge user;90452;26832;41973;2464;3598;62695;Rustic;2020-08-02T02:53:32
4;heuristic synthesize Global;58916;15511;46393;42070;61643;89192;SDD Marketing quantify;2020-08-02T09:36:35
5;parse Dynamic initiative;21939;35260;15210;18078;67547;54980;connecting schemas groupware;2020-08-02T12:28:31
6;Connecticut;79579;40678;68453;95626;74089;62870;payment Future-proofed;2020-08-02T05:08:04
7;Bike HDD interface;38923;53283;31931;14825;20434;9352;bottom-line;2020-08-02T03:14:07
8;encompassing Tasty Cotton Chips impactful;15030;68772;46820;7122;98250;13634;Dynamic;2020-08-02T01:45:27
9;SMS Shirt turn-key;8466;31894;74800;12265;63258;23077;Computer XML;2020-08-02T09:20:25
10;bus Personal Loan Account;37717;52041;32378;13126;41074;36905;digital Home;2020-08-02T16:07:29
