id;name;last_edited_by;last_edited_when;valid_from;valid_to
1;multi-byte Forint visionary;supply-chains Wyoming Malta;2020-07-17T23:40:17;2020-07-18T08:34:27;2020-07-17T23:18:09
2;Interactions Rhode Island;Dynamic;2020-07-17T15:18:01;2020-07-17T12:38:11;2020-07-18T04:43:38
3;impactful hardware Associate;copy Fresh;2020-07-18T06:13:34;2020-07-17T09:30:31;2020-07-18T04:40:02
4;XML;Consultant;2020-07-18T08:04:35;2020-07-17T12:45:48;2020-07-17T15:44:57
5;Kroon Credit Card Account white;Lane Home Loan Account;2020-07-17T09:56:18;2020-07-17T11:35:09;2020-07-17T17:36:06
6;Cotton;Mandatory Frozen;2020-07-18T06:56:27;2020-07-17T10:37:38;2020-07-17T18:02:48
7;Concrete;Saint Pierre and Miquelon haptic;2020-07-17T19:17:52;2020-07-17T15:44:38;2020-07-17T16:23:12
8;hierarchy Grocery;Human bottom-line Generic;2020-07-17T16:05:07;2020-07-18T06:32:19;2020-07-17T17:58:51
9;Balboa US Dollar Ranch;Tasty Soft Soap Borders;2020-07-17T15:41:20;2020-07-17T21:27:23;2020-07-18T00:56:52
10;Representative Reactive;withdrawal Texas;2020-07-17T15:21:34;2020-07-18T02:47:12;2020-07-18T00:04:03
