id;name;localization
1;Usability quantifying Frozen;../fake-data/blob/hipster.txt
2;Seamless schemas;../fake-data/blob/hipster.txt
3;payment tan Operations;../fake-data/blob/hipster.txt
4;intranet open system Facilitator;../fake-data/blob/hipster.txt
5;Surinam Dollar;../fake-data/blob/hipster.txt
6;maroon SMS;../fake-data/blob/hipster.txt
7;Gorgeous;../fake-data/blob/hipster.txt
8;Refined program Refined Cotton Chair;../fake-data/blob/hipster.txt
9;New Jersey;../fake-data/blob/hipster.txt
10;International;../fake-data/blob/hipster.txt
