id;description;quantity;tax_rate;unit_price;unit_price_discount;picked_quantity;picking_completed_when;status;line_rating;line_review;stock_item_photo;review_photo;customer_reviewed_on;supplier_response;supplier_response_on;like_count;last_edited_by;last_edited_when
1;metrics;24399;31057;89618;45790;25419;2020-07-17T12:42:20;BACK_ORDER;60431;../fake-data/blob/hipster.txt;Concrete invoice frictionless;Shirt;2020-07-17T13:53:11;../fake-data/blob/hipster.txt;2020-07-17T21:15:55;3576;bluetooth;2020-07-17T10:23:40
2;software real-time Metal;88313;71146;6125;65154;52634;2020-07-18T01:01:11;OUT_OF_STOCK;81790;../fake-data/blob/hipster.txt;standardization;Architect utilize recontextualize;2020-07-17T12:28:48;../fake-data/blob/hipster.txt;2020-07-18T05:42:11;67529;6th generation Dominica supply-chains;2020-07-18T05:11:28
3;content-based Borders Generic;85584;39469;4295;58980;4491;2020-07-17T08:37:47;AVAILABLE;2561;../fake-data/blob/hipster.txt;payment Director;enable;2020-07-17T12:27:58;../fake-data/blob/hipster.txt;2020-07-17T20:01:42;56422;Sausages open-source Grass-roots;2020-07-17T08:10:36
4;solutions invoice visionary;97654;46707;32605;78668;26100;2020-07-17T11:45:32;AVAILABLE;1268;../fake-data/blob/hipster.txt;metrics innovate Regional;Borders Ergonomic;2020-07-17T23:32:40;../fake-data/blob/hipster.txt;2020-07-17T10:46:57;2783;Toys deposit;2020-07-17T13:19:10
5;Ergonomic wireless Vision-oriented;79075;80229;48456;58036;35109;2020-07-18T06:11:38;AVAILABLE;14810;../fake-data/blob/hipster.txt;Practical;portals Philippine Peso Officer;2020-07-17T16:38:59;../fake-data/blob/hipster.txt;2020-07-18T05:25:06;11084;multi-byte Lesotho;2020-07-18T01:18:04
6;Strategist Handmade;8418;82824;35091;95595;94742;2020-07-17T12:03:14;OUT_OF_STOCK;15428;../fake-data/blob/hipster.txt;Awesome Plastic Chair Berkshire Lithuanian Litas;Investment Account Berkshire Producer;2020-07-18T04:09:10;../fake-data/blob/hipster.txt;2020-07-17T11:44:48;6894;JSON;2020-07-17T19:57:22
7;Czech Republic sensor integrated;48299;64442;28367;60954;78877;2020-07-17T17:47:47;CANCELLED;47447;../fake-data/blob/hipster.txt;Steel Regional;Malaysia schemas;2020-07-17T18:54:01;../fake-data/blob/hipster.txt;2020-07-17T23:50:57;33270;infomediaries Cross-platform Shoes;2020-07-17T23:44:09
8;world-class Sleek Plastic Keyboard EXE;3711;33203;18647;82990;79770;2020-07-17T17:31:17;AVAILABLE;57473;../fake-data/blob/hipster.txt;Frozen;Practical Investor azure;2020-07-17T14:34:20;../fake-data/blob/hipster.txt;2020-07-17T12:45:43;9355;scalable Jewelery;2020-07-17T09:59:50
9;Borders Refined generating;43239;81604;58050;71337;18692;2020-07-17T18:29:05;CANCELLED;88901;../fake-data/blob/hipster.txt;Investor Monitored;e-markets;2020-07-18T05:46:56;../fake-data/blob/hipster.txt;2020-07-18T00:08:27;55435;fresh-thinking platforms Internal;2020-07-18T02:01:27
10;strategic systems;73865;84647;20401;68729;39460;2020-07-17T18:13:21;CANCELLED;32137;../fake-data/blob/hipster.txt;reintermediate transition Dynamic;Configurable Pre-emptive;2020-07-18T05:05:21;../fake-data/blob/hipster.txt;2020-07-18T00:55:57;44498;Lek circuit multi-tasking;2020-07-17T18:37:12
