id;expected_delivery_date;order_placed_on;order_delivered_on;comments;delivery_instructions;internal_comments;package_shipping_fee;package_shipping_fee_discount;package_price;package_sub_total;package_tax_amount;package_voucher_discount;package_promotion_discount;picking_completed_when;customer_reviewed_on;seller_rating;seller_review;delivery_rating;delivery_review;review_as_anonymous;completed_review;order_package_details;last_edited_by;last_edited_when
1;2020-08-01T21:26:02;2020-08-02T10:43:58;2020-08-02T09:05:13;Towels;deposit scale;Refined Fresh Bike strategic;78574;71811;64181;95670;63901;31560;4537;2020-08-02T02:05:09;2020-08-02T00:19:59;72543;../fake-data/blob/hipster.txt;9068;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;Avon Platinum;2020-08-02T02:29:27
2;2020-08-01T18:37:35;2020-08-02T06:22:13;2020-08-02T00:35:23;Bacon Kuwaiti Dinar;Producer Personal Loan Account;partnerships sensor maximize;49655;29069;42729;57800;93520;23789;15276;2020-08-01T19:50:51;2020-08-02T07:42:37;45966;../fake-data/blob/hipster.txt;5333;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;AI Outdoors;2020-08-02T14:24:17
3;2020-08-02T14:22:02;2020-08-01T23:16:22;2020-08-01T21:33:14;Granite open-source Implemented;back-end Guinea Franc;Games Extended hacking;18551;7530;30697;12433;39078;7885;60203;2020-08-02T07:26:43;2020-08-02T00:25:26;54970;../fake-data/blob/hipster.txt;48566;../fake-data/blob/hipster.txt;false;true;../fake-data/blob/hipster.txt;Phased;2020-08-02T02:01:00
4;2020-08-02T12:35:31;2020-08-02T08:24:00;2020-08-01T19:16:21;Kentucky;archive Forward Jewelery;quantifying;2066;82342;63871;3618;57491;70532;50608;2020-08-02T10:34:30;2020-08-02T03:16:19;82045;../fake-data/blob/hipster.txt;19703;../fake-data/blob/hipster.txt;false;true;../fake-data/blob/hipster.txt;challenge Investment Account monitor;2020-08-02T03:32:20
5;2020-08-01T22:31:25;2020-08-01T20:17:29;2020-08-02T03:36:40;customized;bypassing;Turks and Caicos Islands Specialist;14545;19618;34055;3621;46434;30553;17951;2020-08-02T17:19:18;2020-08-01T22:49:32;78855;../fake-data/blob/hipster.txt;4398;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;online system;2020-08-02T02:24:42
6;2020-08-01T21:25:08;2020-08-02T14:03:07;2020-08-02T12:36:59;Barbados transmit;Angola;enable;20325;73547;81052;69167;66356;62272;92868;2020-08-02T03:23:54;2020-08-02T06:49:13;79394;../fake-data/blob/hipster.txt;82479;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;optical;2020-08-01T20:17:53
7;2020-08-02T10:13:06;2020-08-01T18:12:36;2020-08-01T23:17:30;Berkshire bluetooth;Human;Plastic Islands;64186;71830;81931;33193;27729;39316;95871;2020-08-02T01:22:52;2020-08-02T07:27:01;75395;../fake-data/blob/hipster.txt;79408;../fake-data/blob/hipster.txt;false;true;../fake-data/blob/hipster.txt;American Samoa engage;2020-08-02T02:15:34
8;2020-08-01T19:40:08;2020-08-02T07:37:02;2020-08-02T06:04:08;program Crossroad India;synthesize Wall New Zealand Dollar;Argentine Peso Corporate;98596;55747;63513;73658;51343;62455;93167;2020-08-02T10:45:34;2020-08-01T21:17:02;97360;../fake-data/blob/hipster.txt;29043;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;Credit Card Account interface;2020-08-02T17:43:00
9;2020-08-02T04:55:20;2020-08-02T04:43:57;2020-08-02T15:01:23;Music Toys European Unit of Account 17(E.U.A.-17);Cambridgeshire;best-of-breed explicit Plains;20471;59296;17137;73152;56401;86117;40457;2020-08-02T02:42:44;2020-08-02T03:43:40;78701;../fake-data/blob/hipster.txt;27788;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;Unbranded Plastic Cheese;2020-08-02T17:32:12
10;2020-08-02T06:03:42;2020-08-02T05:27:57;2020-08-02T06:52:06;function Belize Dollar Wooden;Monitored Squares;grow;22478;42657;82918;73058;43706;33802;84328;2020-08-02T00:01:52;2020-08-02T13:08:33;27322;../fake-data/blob/hipster.txt;79818;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;AI connecting;2020-08-01T21:31:35
