id;carrier_tracking_number;event_details;event_date
1;silver SMS Jewelery;../fake-data/blob/hipster.txt;2020-08-02T12:25:26
2;Prairie;../fake-data/blob/hipster.txt;2020-08-02T05:22:25
3;Hryvnia;../fake-data/blob/hipster.txt;2020-08-02T08:55:45
4;payment interface;../fake-data/blob/hipster.txt;2020-08-01T20:33:10
5;generate recontextualize;../fake-data/blob/hipster.txt;2020-08-02T06:09:34
6;Versatile relationships;../fake-data/blob/hipster.txt;2020-08-01T21:04:13
7;Plastic Future-proofed;../fake-data/blob/hipster.txt;2020-08-01T21:43:02
8;program Fantastic Steel Towels bus;../fake-data/blob/hipster.txt;2020-08-01T19:44:57
9;Investment Account Intelligent Plastic Ball ADP;../fake-data/blob/hipster.txt;2020-08-01T22:42:19
10;RSS Multi-channelled Handmade Cotton Computer;../fake-data/blob/hipster.txt;2020-08-02T08:48:10
