id;name;valid_from;valid_to
1;Checking Account Chair open-source;2020-08-02T14:29:06;2020-08-02T01:12:54
2;Assistant;2020-08-02T01:40:12;2020-08-02T15:00:55
3;User-centric Shirt;2020-08-01T21:27:19;2020-08-02T01:01:37
4;eyeballs stable;2020-08-02T11:57:17;2020-08-02T14:13:14
5;Fantastic Concrete Cheese;2020-08-02T08:44:51;2020-08-01T21:19:28
6;back up;2020-08-02T10:17:23;2020-08-02T05:01:17
7;Plastic hack back up;2020-08-01T19:51:30;2020-08-02T15:31:16
8;Keyboard Uganda Refined;2020-08-02T03:26:26;2020-08-02T16:23:35
9;Practical Granite Fish;2020-08-02T03:30:15;2020-08-02T09:55:07
10;gold Borders;2020-08-02T11:11:39;2020-08-02T05:41:52
