id;name;code;disabled;sort_order;icon_font;icon_photo;valid_from;valid_to
1;Texas;Avon seamless;true;37469;input Pike convergence;markets virtual Shoes;2020-07-17T22:55:26;2020-07-17T22:08:15
2;Health Persistent;vortals;false;11831;Concrete Enhanced override;monitor;2020-07-17T18:41:34;2020-07-17T23:42:52
3;Estate morph;Baby;false;82199;programming Health Strategist;Customizable encompassing;2020-07-17T13:27:37;2020-07-17T17:53:21
4;Aruba Cambridgeshire Research;niches;true;69800;withdrawal Orchestrator;Handmade pricing structure Burg;2020-07-17T22:28:29;2020-07-18T06:11:16
5;e-enable Switchable channels;Outdoors;true;23681;Rustic Concrete Ball Metrics;online capacity Berkshire;2020-07-18T05:05:59;2020-07-17T22:38:14
6;bus;capacity payment Web;true;8417;withdrawal Investment Account Refined;Savings Account implementation SCSI;2020-07-18T06:08:18;2020-07-17T16:00:11
7;overriding;program RAM;true;53994;vortals;benchmark strategic Personal Loan Account;2020-07-18T05:45:24;2020-07-18T07:19:51
8;invoice utilize;Burkina Faso paradigms;false;11073;virtual connect;Practical Wooden Mouse Assurance;2020-07-17T19:15:52;2020-07-17T11:33:27
9;Applications;intuitive;true;2982;Dynamic National;Personal Loan Account communities;2020-07-17T08:22:23;2020-07-17T18:42:11
10;compelling;Mayotte Usability;false;50015;Alabama Keyboard XSS;input;2020-07-18T03:06:03;2020-07-17T10:18:14
