id;name;handle;short_label;sort_order;icon_font;icon_photo;just_for_you_ind;parent_cascade;active_flag;localization;valid_from;valid_to
1;firmware;Liaison compress proactive;front-end bypass Strategist;95238;capacitor Data orchestrate;Clothing Savings Account Monitored;false;Rustic Granite Car;false;../fake-data/blob/hipster.txt;2020-08-02T09:34:59;2020-08-01T21:44:34
2;tan Intelligent Granite Fish;Bacon;Avenue Palau;61570;Fresh;deposit Computers multi-byte;false;Buckinghamshire Licensed Plastic Car;false;../fake-data/blob/hipster.txt;2020-08-01T21:56:31;2020-08-02T01:02:21
3;Soft;HDD Universal;reintermediate Clothing New Jersey;81848;bus Advanced;Human transmit;false;bandwidth;false;../fake-data/blob/hipster.txt;2020-08-02T07:56:18;2020-08-02T05:47:39
4;Marshall Islands;Corporate Ohio;sky blue;35688;ability Licensed explicit;Awesome calculating technologies;false;withdrawal;true;../fake-data/blob/hipster.txt;2020-08-02T17:37:32;2020-08-02T02:14:19
5;Nevada Mills;application Money Market Account EXE;bleeding-edge markets infomediaries;72974;compress;Sports Checking Account Interactions;false;Analyst haptic;true;../fake-data/blob/hipster.txt;2020-08-02T09:08:31;2020-08-02T00:59:59
6;Mill programming calculate;Sri Lanka invoice parsing;GB robust;84213;Plastic West Virginia;payment indigo Soft;true;JSON Norway Gloves;false;../fake-data/blob/hipster.txt;2020-08-01T22:59:55;2020-08-02T05:31:46
7;Drive United States Minor Outlying Islands;Mouse;PCI Saint Helena Pound Saint Martin;26288;incubate Cambridgeshire;Extension interface;false;blue;true;../fake-data/blob/hipster.txt;2020-08-02T08:14:54;2020-08-02T12:57:34
8;hard drive Groves;virtual user-centric;AGP functionalities vortals;59205;Liaison;multi-byte paradigms back-end;true;Tennessee synergistic synergies;false;../fake-data/blob/hipster.txt;2020-08-02T04:25:17;2020-08-02T12:58:16
9;port Fantastic Frozen Pizza;Chief;Auto Loan Account Berkshire;32426;needs-based;Incredible Plastic Hat;false;aggregate;false;../fake-data/blob/hipster.txt;2020-08-02T02:18:41;2020-08-02T03:33:58
10;lavender microchip;functionalities Wooden Avon;cross-platform;94160;Dobra deposit Texas;mobile;true;Prairie deposit;false;../fake-data/blob/hipster.txt;2020-08-01T21:46:44;2020-08-02T12:52:43
