id;start_date;end_date;list_price;modified_date
1;2020-06-10T12:33:14;2020-06-10T12:11:01;89547;2020-06-10T08:17:40
2;2020-06-10T09:10:39;2020-06-10T13:33:04;21967;2020-06-09T22:52:53
3;2020-06-10T04:42:38;2020-06-09T17:49:37;29051;2020-06-09T17:30:58
4;2020-06-10T04:15:47;2020-06-10T09:51:11;3231;2020-06-10T13:42:02
5;2020-06-09T22:50:46;2020-06-10T08:19:21;98514;2020-06-10T11:23:51
6;2020-06-09T21:20:10;2020-06-10T13:44:58;51267;2020-06-10T03:15:43
7;2020-06-10T02:13:39;2020-06-09T15:47:24;46346;2020-06-09T17:20:33
8;2020-06-09T22:11:28;2020-06-10T08:53:00;6071;2020-06-10T11:34:42
9;2020-06-10T11:16:34;2020-06-10T10:46:47;4050;2020-06-10T12:59:37
10;2020-06-10T05:56:05;2020-06-10T01:46:20;15166;2020-06-10T10:10:23
