id;price;start_count;end_count;multiply_count;start_date;end_date;modified_date
1;52376;39981;47531;73267;2020-06-09T17:11:46;2020-06-10T01:48:42;2020-06-09T21:21:11
2;42711;4338;4541;49648;2020-06-10T06:06:24;2020-06-10T03:01:29;2020-06-09T19:09:40
3;35039;62157;14635;80170;2020-06-10T04:33:42;2020-06-10T13:53:22;2020-06-10T14:50:34
4;9343;16809;99763;54315;2020-06-10T09:00:27;2020-06-09T23:57:07;2020-06-10T02:56:57
5;49608;65191;56023;60583;2020-06-10T09:33:00;2020-06-10T07:15:50;2020-06-09T23:54:01
6;47485;60157;85995;47712;2020-06-10T04:33:42;2020-06-10T00:51:47;2020-06-10T06:27:54
7;44849;57226;56347;68615;2020-06-09T17:42:41;2020-06-10T10:48:39;2020-06-10T09:38:28
8;50928;85166;76467;49112;2020-06-10T08:03:24;2020-06-10T03:46:23;2020-06-09T23:25:14
9;32130;71481;20205;8223;2020-06-09T23:28:06;2020-06-10T10:21:42;2020-06-09T17:25:01
10;95022;61613;15558;69088;2020-06-09T21:54:02;2020-06-10T00:32:03;2020-06-10T02:18:03
