id;name;handle;search_details;product_number;sell_count;product_details;total_wishlist;overall_rating;preferred_ind;free_shipping_ind;made_in_myanmar_ind;questions_about_product_ind;release_date;available_date;active_flag;last_edited_by;last_edited_when;valid_from;valid_to
1;Open-architected methodology;cohesive;Licensed Concrete Sausages Pants;redundant;66277;../fake-data/blob/hipster.txt;95727;57321;true;true;true;true;2020-08-02T07:57:26;2020-08-01T21:15:08;false;deposit;2020-08-01T22:38:54;2020-08-02T17:47:00;2020-08-02T02:23:16
2;toolset Corporate Clothing;quantifying;copying UIC-Franc;IB Shirt supply-chains;36906;../fake-data/blob/hipster.txt;38922;69090;false;false;false;true;2020-08-02T16:28:56;2020-08-02T00:58:18;false;SMTP bypassing deposit;2020-08-02T13:40:42;2020-08-02T04:30:39;2020-08-02T10:06:25
3;Metrics;invoice indexing dedicated;embrace Personal Loan Account;Washington Coordinator frame;55891;../fake-data/blob/hipster.txt;89217;91291;true;true;false;true;2020-08-02T17:48:01;2020-08-02T09:42:58;true;encoding Sports;2020-08-02T14:49:57;2020-08-02T10:04:32;2020-08-02T12:50:42
4;redundant Bedfordshire;clicks-and-mortar calculate;Outdoors;payment;12798;../fake-data/blob/hipster.txt;66203;60163;true;false;false;false;2020-08-02T12:11:25;2020-08-02T00:17:24;true;invoice Liaison Functionality;2020-08-02T04:53:30;2020-08-02T13:59:55;2020-08-02T06:58:30
5;architect;Florida;port;Norfolk Island auxiliary;64808;../fake-data/blob/hipster.txt;73857;54824;true;false;true;true;2020-08-02T11:22:08;2020-08-01T18:54:35;false;Gold withdrawal;2020-08-02T08:22:28;2020-08-02T01:37:08;2020-08-01T19:53:42
6;info-mediaries optical;Taka toolset;Right-sized;time-frame e-commerce;52302;../fake-data/blob/hipster.txt;94879;53390;true;true;false;false;2020-08-02T08:08:45;2020-08-02T14:10:07;true;IB compressing Identity;2020-08-01T21:23:11;2020-08-02T16:55:02;2020-08-02T04:04:19
7;iterate contextually-based Intelligent;virtual Steel;Markets Pula Outdoors;North Dakota action-items Checking Account;48943;../fake-data/blob/hipster.txt;87382;58995;false;true;true;true;2020-08-02T09:19:55;2020-08-02T07:58:11;false;Algeria Manager support;2020-08-01T19:35:07;2020-08-02T02:01:16;2020-08-02T09:03:42
8;Plastic back-end Harbor;connect;Agent Intelligent Granite Towels;interactive;98104;../fake-data/blob/hipster.txt;73158;49509;false;true;false;true;2020-08-02T04:39:37;2020-08-02T04:16:41;false;Nakfa;2020-08-02T03:59:18;2020-08-02T01:57:22;2020-08-02T13:27:27
9;Incredible Accounts;Strategist;Executive Team-oriented Data;parsing;35564;../fake-data/blob/hipster.txt;27079;52424;false;true;true;false;2020-08-02T06:47:01;2020-08-02T08:13:58;true;transmitter;2020-08-02T16:56:45;2020-08-01T19:00:24;2020-08-02T01:04:48
10;User-friendly;panel purple Intranet;optical;Avon incubate;47943;../fake-data/blob/hipster.txt;35356;75624;true;true;true;true;2020-08-02T08:19:00;2020-08-01T20:16:55;true;Brand SMS Planner;2020-08-01T19:37:39;2020-08-02T03:20:39;2020-08-02T13:30:40
