id;ordered_outers;description;received_outers;expected_unit_price_per_outer;last_receipt_date;is_order_line_finalized;last_edited_by;last_edited_when
1;97560;United States of America Regional Consultant;85408;15512;2020-08-02T11:46:37;true;Buckinghamshire Program;2020-08-01T21:44:23
2;22278;Fully-configurable Future;66321;23276;2020-08-02T10:06:34;true;Vermont;2020-08-02T08:00:43
3;16219;parse Home Loan Account;10530;96146;2020-08-02T11:02:46;false;Wooden;2020-08-02T16:55:31
4;17664;Licensed Soft Hat;84845;21306;2020-08-01T22:46:53;true;Bedfordshire program evolve;2020-08-01T20:30:40
5;58139;Handcrafted sticky Czech Koruna;46179;18314;2020-08-02T05:38:00;false;Rubber Outdoors;2020-08-02T04:09:26
6;17249;SMS;90077;57755;2020-08-02T04:17:05;true;Baby index;2020-08-02T06:46:44
7;98500;Metal customer loyalty;7083;98674;2020-08-01T23:14:46;false;sensor;2020-08-02T15:54:03
8;27895;Implementation Switchable;90221;58352;2020-08-02T04:18:43;true;whiteboard Table Object-based;2020-08-02T11:48:21
9;71388;Salad Books;1559;97540;2020-08-02T14:39:05;true;wireless;2020-08-01T22:49:53
10;60132;Namibia;84740;2674;2020-08-02T05:21:48;true;technologies Engineer;2020-08-01T23:47:09
