id;customer_question;customer_question_on;supplier_answer;supplier_answer_on;valid_from;valid_to
1;../fake-data/blob/hipster.txt;2020-08-02T14:00:31;../fake-data/blob/hipster.txt;2020-08-02T00:27:44;2020-08-02T04:39:04;2020-08-02T14:56:47
2;../fake-data/blob/hipster.txt;2020-08-02T05:53:56;../fake-data/blob/hipster.txt;2020-08-02T00:15:38;2020-08-02T12:17:17;2020-08-01T20:20:41
3;../fake-data/blob/hipster.txt;2020-08-02T07:34:52;../fake-data/blob/hipster.txt;2020-08-02T09:19:03;2020-08-02T02:04:53;2020-08-02T06:39:11
4;../fake-data/blob/hipster.txt;2020-08-01T23:06:33;../fake-data/blob/hipster.txt;2020-08-02T12:05:24;2020-08-02T09:02:55;2020-08-02T03:03:07
5;../fake-data/blob/hipster.txt;2020-08-02T10:52:19;../fake-data/blob/hipster.txt;2020-08-01T19:27:10;2020-08-02T13:50:33;2020-08-02T02:37:09
6;../fake-data/blob/hipster.txt;2020-08-02T12:29:47;../fake-data/blob/hipster.txt;2020-08-02T02:58:28;2020-08-02T13:46:33;2020-08-02T09:13:50
7;../fake-data/blob/hipster.txt;2020-08-02T15:15:46;../fake-data/blob/hipster.txt;2020-08-02T03:22:57;2020-08-02T13:32:30;2020-08-01T23:25:13
8;../fake-data/blob/hipster.txt;2020-08-02T07:50:19;../fake-data/blob/hipster.txt;2020-08-01T19:07:29;2020-08-01T21:31:41;2020-08-01T20:54:25
9;../fake-data/blob/hipster.txt;2020-08-02T13:45:37;../fake-data/blob/hipster.txt;2020-08-01T18:58:05;2020-08-01T23:10:34;2020-08-01T23:26:39
10;../fake-data/blob/hipster.txt;2020-08-01T22:53:19;../fake-data/blob/hipster.txt;2020-08-02T01:15:41;2020-08-02T17:55:29;2020-08-01T19:54:39
