id;receipt_no;issued_date;print_count;last_edited_by;last_edited_when
1;primary;2020-07-17T08:14:28;9691;Malta sticky bus;2020-07-18T02:32:11
2;El Salvador Colon US Dollar;2020-07-17T15:14:46;92236;Personal Loan Account Lari;2020-07-17T20:10:38
3;Corporate;2020-07-17T20:03:58;32018;Intelligent;2020-07-17T14:40:41
4;Norfolk Island;2020-07-18T00:25:00;35068;SQL Algerian Dinar mission-critical;2020-07-18T05:28:44
5;local Communications plum;2020-07-18T02:45:21;43562;superstructure Principal;2020-07-18T04:28:52
6;Home Loan Account;2020-07-17T22:05:15;1775;Unbranded;2020-07-18T05:18:14
7;yellow Iowa Shoes;2020-07-18T05:00:18;23453;emulation;2020-07-17T11:31:52
8;Global magenta Savings Account;2020-07-18T06:56:58;39789;back-end driver California;2020-07-17T17:38:44
9;HTTP;2020-07-17T18:34:57;53567;Licensed Rubber Table overriding deposit;2020-07-17T15:07:24
10;hierarchy;2020-07-17T17:29:02;14718;Credit Card Account Mount National;2020-07-17T19:37:46
