id;name;description;localization;valid_from;valid_to
1;circuit Buckinghamshire;Seamless;../fake-data/blob/hipster.txt;2020-08-02T04:05:37;2020-08-02T07:25:49
2;THX Burkina Faso;THX bricks-and-clicks View;../fake-data/blob/hipster.txt;2020-08-01T17:41:41;2020-08-01T21:44:42
3;secured line plum SAS;radical;../fake-data/blob/hipster.txt;2020-08-01T20:13:31;2020-08-01T21:45:43
4;plum Pants;sexy directional;../fake-data/blob/hipster.txt;2020-08-01T19:06:24;2020-08-02T15:44:21
5;digital;responsive withdrawal;../fake-data/blob/hipster.txt;2020-08-02T00:56:02;2020-08-02T11:44:45
6;transparent parse;Club Licensed;../fake-data/blob/hipster.txt;2020-08-02T14:24:03;2020-08-01T22:10:21
7;Licensed Rubber Table bypassing Luxembourg;Cambridgeshire lime;../fake-data/blob/hipster.txt;2020-08-02T16:56:24;2020-08-02T05:11:37
8;Sleek Credit Card Account support;synthesizing override;../fake-data/blob/hipster.txt;2020-08-01T18:42:55;2020-08-02T16:02:58
9;Intranet;Books;../fake-data/blob/hipster.txt;2020-08-02T04:04:06;2020-08-01T22:34:45
10;dynamic Tasty Frozen Soap;Bedfordshire Rustic Fresh Cheese;../fake-data/blob/hipster.txt;2020-08-02T02:52:18;2020-08-02T10:55:05
