id;total_price;total_tax_amount;sub_total_price;total_shipping_fee;total_shipping_fee_discount;promotion_total;voucher_total;package_details;cart_details;deal_details;last_edited_by;last_edited_when
1;61158;48880;49999;59833;15484;25493;17889;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Palestinian Territory Awesome synthesize;2020-08-02T01:05:43
2;4905;16497;69521;26107;41626;18607;95046;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;override fault-tolerant Balboa US Dollar;2020-08-02T03:45:55
3;74228;62862;8933;63476;26120;89214;60175;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;microchip driver;2020-08-02T15:30:13
4;67955;46742;69955;13738;22536;7099;29978;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;leading edge;2020-08-02T13:53:30
5;6264;49892;64552;31274;82969;66623;42445;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Armenian Dram;2020-08-02T00:58:02
6;73142;93297;59512;89375;76948;50673;52333;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Bedfordshire Usability;2020-08-01T22:29:27
7;97678;76849;21465;16018;11246;98243;98828;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1080p Facilitator;2020-08-01T19:55:55
8;71826;82039;13572;43050;9918;8057;71565;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SMTP Mauritius online;2020-08-01T21:30:27
9;65800;69807;44047;95993;23165;42355;24701;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lime;2020-08-02T01:56:15
10;50336;4132;8108;9656;59271;98486;90644;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Tuna Rustic Sausages;2020-08-01T18:44:09
