id;code;name;sales_territory;border;latest_recorded_population;localization;valid_from;valid_to
1;repurpose;Rand Loti;pink clicks-and-mortar Armenia;utilize;80205;../fake-data/blob/hipster.txt;2020-08-02T17:09:11;2020-08-02T02:58:37
2;AGP Sleek;installation Streamlined granular;Coordinator View;neural whiteboard purple;1887;../fake-data/blob/hipster.txt;2020-08-02T12:50:14;2020-08-01T21:55:36
3;Credit Card Account invoice;Incredible Fresh Chicken emulation transform;Saint Lucia;Agent;56683;../fake-data/blob/hipster.txt;2020-08-01T20:02:04;2020-08-01T20:42:49
4;success system-worthy;holistic;monitor bluetooth Consultant;Rubber Albania;68640;../fake-data/blob/hipster.txt;2020-08-02T11:29:26;2020-08-02T08:57:34
5;Multi-layered Generic;models;withdrawal Computer Central;open-source;56986;../fake-data/blob/hipster.txt;2020-08-02T09:40:53;2020-08-02T07:47:28
6;Money Market Account Small Plastic Chips Visionary;Quality solution;Developer Tasty plum;Orchestrator;28494;../fake-data/blob/hipster.txt;2020-08-02T13:46:14;2020-08-02T08:11:15
7;Designer Money Market Account;Tasty Paradigm;envisioneer;users Computers bypassing;75590;../fake-data/blob/hipster.txt;2020-08-01T23:29:17;2020-08-02T09:10:11
8;Handmade Granite Hat withdrawal solid state;Phased Handcrafted Concrete Towels;Mobility;array Kids Human;16578;../fake-data/blob/hipster.txt;2020-08-01T22:21:21;2020-08-02T08:00:27
9;innovative;enterprise heuristic Refined;Intelligent Plastic Bacon;Gloves Handmade Granite Bacon;10166;../fake-data/blob/hipster.txt;2020-08-02T16:00:45;2020-08-02T05:06:13
10;hub;Incredible Plastic Ball;Awesome Fresh Computer solution-oriented deposit;encoding Bedfordshire Visionary;11790;../fake-data/blob/hipster.txt;2020-08-02T04:06:01;2020-08-02T03:01:34
