id;quantity_on_hand;bin_location;last_stock_take_quantity;last_cost_price;reorder_level;targer_stock_level;last_edited_by;last_edited_when
1;82712;cultivate Table Personal Loan Account;56872;49718;11832;63307;Generic Soft Fish Massachusetts seamless;2020-06-10T12:59:46
2;44778;violet;35910;1029;79965;4285;invoice;2020-06-10T00:29:52
3;4058;Strategist teal;79809;56971;98957;54557;Books Consultant Bedfordshire;2020-06-10T04:05:37
4;93653;Bedfordshire Intelligent Concrete Tuna transparent;30064;20525;81814;27475;Regional;2020-06-09T22:05:19
5;31025;monitor interface;73859;45056;28674;56527;Cambridgeshire;2020-06-10T09:56:40
6;18080;Incredible Fish Tuna;8523;39769;4421;27649;Savings Account white;2020-06-10T00:53:27
7;71171;Checking Account;48437;80476;94109;5306;groupware Computers;2020-06-10T12:02:23
8;93207;integrate parse Pound Sterling;31791;3198;60581;44451;navigate invoice Junctions;2020-06-10T08:28:08
9;41882;Refined Frozen Salad Baby;2321;77396;91105;5331;Executive Avon Alabama;2020-06-10T09:27:28
10;74747;Interactions Investor;44002;82401;83420;32443;scalable;2020-06-09T20:31:22
