id;transaction_occured_when;quantity;last_edited_by;last_edited_when
1;2020-07-17T17:29:30;71380;Concrete Hat;2020-07-17T20:18:48
2;2020-07-17T10:22:50;88959;Dominican Peso;2020-07-17T14:57:27
3;2020-07-18T05:35:43;54020;Optimization Lead;2020-07-17T18:04:58
4;2020-07-17T19:55:34;31756;mission-critical invoice Product;2020-07-17T18:34:30
5;2020-07-17T21:43:02;44915;Group installation gold;2020-07-18T04:51:32
6;2020-07-18T03:58:18;56998;connect Savings Account;2020-07-17T14:32:50
7;2020-07-17T23:04:01;16572;Digitized Wisconsin;2020-07-17T15:25:02
8;2020-07-17T09:10:05;75663;Syrian Pound bleeding-edge expedite;2020-07-17T16:04:38
9;2020-07-17T16:21:55;69510;Chief FTP;2020-07-17T22:19:46
10;2020-07-17T08:54:07;78863;Investor connecting firmware;2020-07-18T02:02:43
