id;name;valid_from;valid_to
1;Pants;2020-06-10T06:25:55;2020-06-10T14:06:45
2;Tasty Auto Loan Account;2020-06-10T10:30:16;2020-06-10T01:34:34
3;Concrete Concrete Connecticut;2020-06-09T21:43:50;2020-06-10T07:52:57
4;Tasty Plastic Pizza;2020-06-10T09:03:40;2020-06-10T12:27:32
5;Spur Table Metal;2020-06-09T16:20:47;2020-06-10T07:32:38
6;Congo;2020-06-09T20:12:18;2020-06-10T08:22:51
7;Refined seize;2020-06-09T19:05:56;2020-06-10T08:23:18
8;ADP alarm;2020-06-10T11:51:06;2020-06-09T23:03:54
9;maximize Ergonomic Jewelery;2020-06-10T05:34:43;2020-06-10T11:30:19
10;Music Unions redundant;2020-06-10T13:23:41;2020-06-09T21:16:14
