id;supplier_invoice_number;transaction_date;amount_excluding_tax;tax_amount;transaction_amount;outstanding_balance;finalization_date;is_finalized;last_edited_by;last_edited_when
1;firewall;2020-06-16T16:52:04;29299;8843;76643;78498;2020-06-17T07:53:40;true;virtual circuit Pizza;2020-06-16T19:02:08
2;Usability engineer;2020-06-17T05:10:38;80451;56276;96889;97520;2020-06-16T22:51:26;true;cyan bifurcated;2020-06-17T00:33:18
3;Kazakhstan;2020-06-16T19:33:58;21378;82010;23623;56801;2020-06-17T11:15:57;false;neural;2020-06-16T23:05:23
4;redefine;2020-06-17T03:51:02;69162;9271;27044;36170;2020-06-17T10:42:53;true;SMS;2020-06-17T04:07:50
5;Sri Lanka Rupee Chief;2020-06-17T06:19:38;53099;46063;26713;12216;2020-06-17T11:00:02;false;Fish Fantastic Fresh Shirt;2020-06-16T23:52:32
6;Row hard drive;2020-06-17T14:48:58;26991;77212;92587;88582;2020-06-16T23:20:24;false;Steel;2020-06-17T04:17:56
7;overriding;2020-06-17T04:30:26;6814;55667;29371;65069;2020-06-17T02:05:43;false;Group;2020-06-17T12:32:03
8;Home Loan Account;2020-06-17T05:20:31;98227;46164;18597;79551;2020-06-16T23:14:29;false;Gorgeous Metal Shirt;2020-06-17T06:58:15
9;Functionality;2020-06-16T22:10:16;15603;27218;10501;89473;2020-06-16T17:06:26;true;Ergonomic invoice;2020-06-17T09:27:32
10;Florida;2020-06-16T17:07:40;52023;27651;71713;85196;2020-06-17T10:23:57;false;Fantastic;2020-06-16T16:52:31
