id;code;name;rate;modified_date
1;Soft;Pre-emptive portals Home Loan Account;7287;2020-08-01T20:55:49
2;Fantastic leverage British Indian Ocean Territory (Chagos Archipelago);Djibouti;15151;2020-08-02T14:49:28
3;Checking Account plum;wireless;33140;2020-08-01T21:19:32
4;architectures;Gorgeous Cotton Table;57298;2020-08-02T00:11:14
5;Global;mint green;77623;2020-08-01T23:35:06
6;attitude-oriented;deliverables;29275;2020-08-01T17:20:39
7;Belarus Incredible Bedfordshire;Handcrafted;47824;2020-08-02T14:34:42
8;Norwegian Krone;CFA Franc BEAC cultivate;13468;2020-08-02T14:51:08
9;payment Engineer Dominican Peso;Fresh;65423;2020-08-01T22:31:53
10;RAM protocol;Salad Intranet Throughway;41184;2020-08-02T15:44:49
