id;name;description;localization;valid_from;valid_to
1;lime;North Carolina green solutions;../fake-data/blob/hipster.txt;2020-08-01T20:28:21;2020-08-02T06:27:54
2;Manors New Mexico Profound;driver;../fake-data/blob/hipster.txt;2020-08-01T18:10:34;2020-08-02T15:29:31
3;Jamaican Dollar Configuration Hawaii;content-based Electronics Fall;../fake-data/blob/hipster.txt;2020-08-02T17:09:55;2020-08-02T01:48:30
4;North Carolina;JSON Designer Sports;../fake-data/blob/hipster.txt;2020-08-02T09:05:38;2020-08-02T13:19:42
5;reintermediate;SCSI monitor SDD;../fake-data/blob/hipster.txt;2020-08-01T17:43:36;2020-08-02T03:44:48
6;generating Palladium Incredible;Connecticut Concrete;../fake-data/blob/hipster.txt;2020-08-02T12:08:43;2020-08-02T10:30:39
7;Burg Belize Dollar;Bedfordshire architecture Clothing;../fake-data/blob/hipster.txt;2020-08-02T14:27:38;2020-08-01T20:40:53
8;Cliffs Junction Functionality;customized;../fake-data/blob/hipster.txt;2020-08-02T11:35:19;2020-08-02T05:01:39
9;Handmade Concrete Ball;withdrawal;../fake-data/blob/hipster.txt;2020-08-01T18:20:45;2020-08-02T05:57:49
10;scalable;Books Cordoba Oro;../fake-data/blob/hipster.txt;2020-08-02T06:11:26;2020-08-02T00:03:43
