id;name;valid_from;valid_to
1;CFA Franc BCEAO;2020-06-10T08:54:55;2020-06-10T14:19:07
2;Fresh;2020-06-09T19:53:47;2020-06-10T12:24:05
3;cross-platform payment revolutionary;2020-06-09T21:58:14;2020-06-10T04:33:57
4;Car mission-critical;2020-06-10T03:15:31;2020-06-10T05:39:21
5;Fantastic Solutions;2020-06-10T06:14:12;2020-06-09T17:51:56
6;Cotton functionalities Practical;2020-06-10T04:04:54;2020-06-10T04:08:53
7;Small Points;2020-06-09T15:36:53;2020-06-09T23:24:51
8;Global RSS SAS;2020-06-10T08:13:27;2020-06-10T13:59:34
9;Officer;2020-06-09T16:44:10;2020-06-09T22:33:43
10;SDD;2020-06-10T13:31:23;2020-06-09T14:56:50
