id;vehicle_registration;chiller_sensor_number;recorded_when;temperature;is_compressed;full_sensor_data;compressed_sensor_data
1;83531;transmitting;55734;4326;true;Marketing Zimbabwe Dollar Keyboard;Buckinghamshire Toys withdrawal
2;2771;tan bypassing;49280;88234;false;Division algorithm;Colorado
3;18493;orange South Dakota;17934;32318;false;clear-thinking turquoise Investment Account;Organic invoice
4;39759;FTP Corners protocol;19925;31240;true;Cross-platform disintermediate;SCSI bluetooth neural
5;4670;Gorgeous Associate viral;25195;33086;true;Home Equatorial Guinea Credit Card Account;Focused Human bypass
6;45276;Checking Account Profit-focused;85773;7873;false;24/7;deposit
7;67147;dot-com Games Customizable;94627;33009;false;Consultant Central;azure
8;41623;Home Loan Account solid state indexing;11962;45356;true;Assistant indigo;Cambridgeshire value-added
9;24044;Table SQL;32125;46522;false;Investment Account payment District;Sleek systems Massachusetts
10;43491;Ball Future-proofed override;80159;28147;false;productivity Norway Shoals;architectures
