id;code;name;valid_from;valid_to
1;connecting;interactive green;2020-06-15T04:58:27;2020-06-15T14:51:33
2;South Carolina National Nepalese Rupee;Chair solutions disintermediate;2020-06-15T03:17:09;2020-06-16T02:02:33
3;Brand Avon Berkshire;microchip;2020-06-15T22:38:07;2020-06-15T22:05:08
4;deposit incentivize knowledge base;Peso Uruguayo Uruguay Peso en Unidades Indexadas;2020-06-15T13:03:48;2020-06-15T21:24:49
5;architectures;haptic IB vortals;2020-06-15T20:25:24;2020-06-15T04:32:38
6;intranet;scalable;2020-06-15T03:50:03;2020-06-15T21:32:28
7;systematic;Keyboard;2020-06-15T15:57:34;2020-06-15T13:03:43
8;Ohio Baby;Bermudian Dollar (customarily known as Bermuda Dollar) Cambridgeshire copying;2020-06-15T06:07:48;2020-06-15T16:33:47
9;Tasty Ergonomic;Metrics Fantastic index;2020-06-15T18:55:58;2020-06-15T22:21:02
10;Mouse networks;Paradigm;2020-06-15T16:41:23;2020-06-15T05:09:35
